date,human,generic_bot,llm_bot
2026-01-01,205984,1978755,33985
2026-01-02,156806,1476709,49966
2026-01-03,154397,1573270,45874
2026-01-04,244937,2353672,68267
2026-01-05,276103,1760509,67340
2026-01-06,273800,1776536,44135
2026-01-07,294148,1596224,32314
2026-01-08,307939,1527554,37677
2026-01-09,290569,1570403,30844
2026-01-10,251575,1609744,31215
2026-01-11,265165,1431224,30516
2026-01-12,386355,1591487,22307
2026-01-13,417669,1756738,26645
2026-01-14,380622,1600980,33952
2026-01-15,349166,2158674,32968
2026-01-16,456254,1718036,35645
2026-01-17,248117,1679567,38626
2026-01-18,222400,1490230,49053
2026-01-19,828237,1569669,43469
2026-01-20,861052,1540158,43261
2026-01-21,678752,5706887,53899
2026-01-22,322938,2518036,53224
2026-01-23,304396,1437712,35483
2026-01-24,188324,1557798,41683
2026-01-25,229181,1577010,39374
2026-01-26,342079,1552323,41977
2026-01-27,1176957,1476969,35782
2026-01-28,2981555,1441848,51872
2026-01-29,362273,1406113,53863
2026-01-30,282185,1169258,60620
2026-01-31,232690,662974,72357
2026-02-01,261209,690400,83828
2026-02-02,335789,754010,83418
2026-02-03,361828,1098171,109146
2026-02-04,317430,828667,71785
2026-02-05,317727,843666,75030
2026-02-06,269787,775187,117015
2026-02-07,221301,639788,106784
2026-02-08,221506,750451,206209
2026-02-09,308467,938829,203835
2026-02-10,306685,904481,202810
2026-02-11,252496,728541,128730
2026-02-12,263409,615878,38940
2026-02-13,232399,607358,47068
2026-02-14,176121,523753,55944
2026-02-15,142888,626718,140997
2026-02-16,161230,624591,57577
2026-02-17,162355,619225,76570
2026-02-18,152566,691694,56297
2026-02-19,169599,533977,87560
2026-02-20,169044,543571,90801
2026-02-21,169507,557382,98650
2026-02-22,195437,428408,94569
2026-02-23,230302,527680,88485
2026-02-24,268644,601834,69019
2026-02-25,262359,619494,82093
2026-02-26,294208,605923,117496
2026-02-27,341119,676556,119340
2026-02-28,304252,712287,121957
2026-03-01,250071,761874,65241
2026-03-02,358955,852629,95570
2026-03-03,329021,923763,100518
2026-03-04,259658,887166,70116
2026-03-05,92115,867779,50251
2026-03-06,220657,945319,38951
2026-03-07,222109,894685,38867
2026-03-08,223789,864126,35495
2026-03-09,320168,1084249,30526
2026-03-10,246716,1026327,48181
2026-03-11,348608,1010849,41700
2026-03-12,363544,807589,47673
2026-03-13,322158,676805,39009
2026-03-14,287818,810404,33714
2026-03-15,267780,933531,59405
2026-03-16,372856,993153,89578
2026-03-17,376421,989684,80865
2026-03-18,379587,878604,79718
2026-03-19,342884,935683,72529
2026-03-20,297121,876745,70762
2026-03-21,233056,823030,66845
2026-03-22,230984,743306,63902
2026-03-23,300659,758307,83765
2026-03-24,319716,912145,66600
2026-03-25,301690,1161454,75637
2026-03-26,289503,909313,67247
2026-03-27,256651,774954,64555
2026-03-28,180410,863961,66761
2026-03-29,198400,916063,61823
2026-03-30,285398,892690,78016
2026-03-31,275243,928653,71216
2026-04-01,266206,1474034,57026
2026-04-02,271653,1399349,78500
2026-04-03,218476,1371483,57901
2026-04-04,141459,1252327,60596
2026-04-05,166494,1369960,108559
2026-04-06,196979,1364903,62599
2026-04-07,306796,1294686,127087
2026-04-08,299046,1340954,159092
2026-04-09,287461,638684,172720
2026-04-10,225571,600115,107685
2026-04-11,168690,822671,196691
2026-04-12,195893,1028137,219712
2026-04-13,266434,1079469,239908
2026-04-14,262209,1102087,120000
2026-04-15,259616,1323932,139150
2026-04-16,264017,1192197,204095
2026-04-17,223998,1444782,204274
2026-04-18,169231,1946408,269664
2026-04-19,190493,1032618,280689
2026-04-20,259796,902866,317452
2026-04-21,257783,814394,193195
2026-04-22,250628,707891,93083
2026-04-23,233526,671232,125765
2026-04-24,231774,1361251,76504
2026-04-25,196735,946658,227534
2026-04-26,176339,1354592,254398
2026-04-27,253392,944505,210689
2026-04-28,259325,962916,161358
2026-04-29,251019,1026933,120221
2026-04-30,238379,742580,270111
2026-05-01,315,243,283
