date,category,service,count
2026-01-01,generic_bot,api,1716034
2026-01-01,human,api,338129
2026-01-01,llm_bot,api,19231
2026-01-01,generic_bot,sparql,41622
2026-01-01,human,sparql,204
2026-01-01,llm_bot,sparql,67
2026-01-01,generic_bot,web,73508
2026-01-01,human,web,15242
2026-01-01,llm_bot,web,14687
2026-01-02,generic_bot,api,1315901
2026-01-02,human,api,183565
2026-01-02,llm_bot,api,22812
2026-01-02,generic_bot,sparql,41626
2026-01-02,human,sparql,383
2026-01-02,llm_bot,sparql,117
2026-01-02,generic_bot,web,74187
2026-01-02,human,web,17853
2026-01-02,llm_bot,web,27037
2026-01-03,generic_bot,api,1408900
2026-01-03,human,api,182009
2026-01-03,llm_bot,api,13023
2026-01-03,generic_bot,sparql,41886
2026-01-03,human,sparql,258
2026-01-03,llm_bot,sparql,326
2026-01-03,generic_bot,web,75185
2026-01-03,human,web,19429
2026-01-03,llm_bot,web,32525
2026-01-04,generic_bot,api,2166324
2026-01-04,human,api,298023
2026-01-04,llm_bot,api,22561
2026-01-04,generic_bot,sparql,41461
2026-01-04,human,sparql,865
2026-01-04,llm_bot,sparql,79
2026-01-04,generic_bot,web,74056
2026-01-04,human,web,17880
2026-01-04,llm_bot,web,45627
2026-01-05,generic_bot,api,1556074
2026-01-05,human,api,351679
2026-01-05,llm_bot,api,17807
2026-01-05,generic_bot,sparql,41851
2026-01-05,human,sparql,332
2026-01-05,llm_bot,sparql,110
2026-01-05,generic_bot,web,67666
2026-01-05,human,web,19010
2026-01-05,llm_bot,web,49423
2026-01-06,generic_bot,api,1547196
2026-01-06,human,api,358445
2026-01-06,llm_bot,api,22570
2026-01-06,generic_bot,sparql,41455
2026-01-06,human,sparql,1130
2026-01-06,llm_bot,sparql,105
2026-01-06,generic_bot,web,83818
2026-01-06,human,web,18292
2026-01-06,llm_bot,web,21460
2026-01-07,generic_bot,api,1412709
2026-01-07,human,api,348025
2026-01-07,llm_bot,api,14865
2026-01-07,generic_bot,sparql,40962
2026-01-07,human,sparql,444
2026-01-07,llm_bot,sparql,261
2026-01-07,generic_bot,web,58461
2026-01-07,human,web,29771
2026-01-07,llm_bot,web,17188
2026-01-08,generic_bot,api,1340614
2026-01-08,human,api,365210
2026-01-08,llm_bot,api,10305
2026-01-08,generic_bot,sparql,40612
2026-01-08,human,sparql,2349
2026-01-08,llm_bot,sparql,310
2026-01-08,generic_bot,web,44931
2026-01-08,human,web,41777
2026-01-08,llm_bot,web,27062
2026-01-09,generic_bot,api,1412863
2026-01-09,human,api,366346
2026-01-09,llm_bot,api,13703
2026-01-09,generic_bot,sparql,42260
2026-01-09,human,sparql,2444
2026-01-09,llm_bot,sparql,140
2026-01-09,generic_bot,web,15878
2026-01-09,human,web,21181
2026-01-09,llm_bot,web,17001
2026-01-10,generic_bot,api,1484720
2026-01-10,human,api,292125
2026-01-10,llm_bot,api,12174
2026-01-10,generic_bot,sparql,42284
2026-01-10,human,sparql,752
2026-01-10,llm_bot,sparql,50
2026-01-10,generic_bot,web,24311
2026-01-10,human,web,17127
2026-01-10,llm_bot,web,18991
2026-01-11,generic_bot,api,1323511
2026-01-11,human,api,285793
2026-01-11,llm_bot,api,12794
2026-01-11,generic_bot,sparql,42551
2026-01-11,human,sparql,790
2026-01-11,llm_bot,sparql,48
2026-01-11,generic_bot,web,27609
2026-01-11,human,web,16135
2026-01-11,llm_bot,web,17674
2026-01-12,generic_bot,api,1457331
2026-01-12,human,api,421407
2026-01-12,llm_bot,api,15750
2026-01-12,generic_bot,sparql,42834
2026-01-12,human,sparql,1052
2026-01-12,llm_bot,sparql,164
2026-01-12,generic_bot,web,21800
2026-01-12,human,web,33418
2026-01-12,llm_bot,web,6393
2026-01-13,generic_bot,api,1591615
2026-01-13,human,api,480285
2026-01-13,llm_bot,api,13811
2026-01-13,generic_bot,sparql,43345
2026-01-13,human,sparql,900
2026-01-13,llm_bot,sparql,153
2026-01-13,generic_bot,web,22942
2026-01-13,human,web,35320
2026-01-13,llm_bot,web,12681
2026-01-14,generic_bot,api,1462893
2026-01-14,human,api,426130
2026-01-14,llm_bot,api,19469
2026-01-14,generic_bot,sparql,42481
2026-01-14,human,sparql,793
2026-01-14,llm_bot,sparql,126
2026-01-14,generic_bot,web,15678
2026-01-14,human,web,33627
2026-01-14,llm_bot,web,14357
2026-01-15,generic_bot,api,1911041
2026-01-15,human,api,503487
2026-01-15,llm_bot,api,21038
2026-01-15,generic_bot,sparql,43110
2026-01-15,human,sparql,659
2026-01-15,llm_bot,sparql,164
2026-01-15,generic_bot,web,19037
2026-01-15,human,web,30506
2026-01-15,llm_bot,web,11766
2026-01-16,generic_bot,api,1492834
2026-01-16,human,api,390732
2026-01-16,llm_bot,api,22243
2026-01-16,generic_bot,sparql,42695
2026-01-16,human,sparql,1040
2026-01-16,llm_bot,sparql,94
2026-01-16,generic_bot,web,24874
2026-01-16,human,web,222115
2026-01-16,llm_bot,web,13308
2026-01-17,generic_bot,api,1425809
2026-01-17,human,api,308868
2026-01-17,llm_bot,api,28400
2026-01-17,generic_bot,sparql,43068
2026-01-17,human,sparql,252
2026-01-17,llm_bot,sparql,86
2026-01-17,generic_bot,web,67790
2026-01-17,human,web,81897
2026-01-17,llm_bot,web,10140
2026-01-18,generic_bot,api,1325070
2026-01-18,human,api,243582
2026-01-18,llm_bot,api,39041
2026-01-18,generic_bot,sparql,42592
2026-01-18,human,sparql,276
2026-01-18,llm_bot,sparql,133
2026-01-18,generic_bot,web,64552
2026-01-18,human,web,36558
2026-01-18,llm_bot,web,9879
